symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,993738.3500000001,-6261.649999999907,-0.6261649999999906,0.0,30.950000000000003
KQ.m@SHFE.cu,1000000.0,960974.405,-39025.59499999997,-3.9025594999999975,0.0,0.0
KQ.m@SHFE.al,1000000.0,939795.0,-60205.0,-6.0205,0.0,0.0
KQ.m@SHFE.zn,1000000.0,944500.0,-55500.0,-5.55,0.0,0.0
KQ.m@SHFE.pb,1000000.0,1008852.335,8852.334999999963,0.8852334999999963,0.0,0.0
KQ.m@SHFE.ni,1000000.0,967967.0,-32033.0,-3.2033,0.0,0.0
KQ.m@SHFE.sn,1000000.0,905533.0,-94467.0,-9.4467,0.0,0.0
KQ.m@SHFE.au,1000000.0,1155929.9999999881,155929.99999998813,15.592999999998813,0.0,0.0
KQ.m@SHFE.ag,1000000.0,994499.8277500003,-5500.172249999712,-0.5500172249999712,0.0,0.0
KQ.m@SHFE.ru,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1160561.2939999998,160561.29399999976,16.05612939999998,0.0,0.0
KQ.m@SHFE.bu,1000000.0,1167907.008,167907.0079999999,16.790700799999993,0.0,0.0
KQ.m@SHFE.hc,1000000.0,985769.1999999998,-14230.800000000163,-1.4230800000000163,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1017575.02,17575.02000000002,1.7575020000000017,0.0,0.0
KQ.m@SHFE.ss,1000000.0,986505.9299999999,-13494.070000000065,-1.3494070000000065,0.0,0.0
KQ.m@DCE.i,1000000.0,881520.2799999999,-118479.72000000009,-11.84797200000001,0.0,0.0
KQ.m@DCE.j,1000000.0,991890.96,-8109.040000000037,-0.8109040000000037,0.0,0.0
KQ.m@DCE.jm,1000000.0,972885.25,-27114.75,-2.711475,0.0,0.0
KQ.m@DCE.a,1000000.0,1011080.0,11080.0,1.1079999999999999,0.0,0.0
KQ.m@DCE.b,1000000.0,1013490.0,13490.0,1.349,0.0,0.0
KQ.m@DCE.m,1000000.0,991685.0,-8315.0,-0.8314999999999999,0.0,0.0
KQ.m@DCE.y,1000000.0,1074590.0,74590.0,7.4590000000000005,0.0,0.0
KQ.m@DCE.p,1000000.0,988655.0,-11345.0,-1.1344999999999998,0.0,12.5
KQ.m@DCE.c,1000000.0,1010964.0,10964.0,1.0964,0.0,0.0
KQ.m@DCE.cs,1000000.0,1009885.0,9885.0,0.9884999999999999,0.0,0.0
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,1000000.0,1024380.0,24380.0,2.4379999999999997,0.0,0.0
KQ.m@DCE.pg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.jd,1000000.0,942752.495,-57247.505000000005,-5.724750500000001,0.0,0.0
KQ.m@DCE.lh,1000000.0,1114150.6399999997,114150.63999999966,11.415063999999967,0.0,0.0
KQ.m@CZCE.SR,1000000.0,994680.0,-5320.0,-0.532,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1006125.3,6125.300000000047,0.6125300000000046,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.FG,1000000.0,992710.0,-7290.0,-0.729,0.0,0.0
KQ.m@CZCE.RM,1000000.0,993825.0,-6175.0,-0.6174999999999999,0.0,0.0
KQ.m@CZCE.OI,1000000.0,1000468.0,468.0,0.0468,0.0,0.0
KQ.m@CZCE.SM,1000000.0,1032840.0,32840.0,3.2840000000000003,0.0,0.0
KQ.m@CZCE.SF,1000000.0,977650.0,-22350.0,-2.235,0.0,0.0
KQ.m@CZCE.UR,1000000.0,997700.0,-2300.0,-0.22999999999999998,0.0,0.0
KQ.m@CZCE.SA,1000000.0,989130.0,-10870.0,-1.087,0.0,0.0
KQ.m@CZCE.PK,1000000.0,991600.0,-8400.0,-0.84,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1017220.0,17220.0,1.722,0.0,0.0
KQ.m@INE.sc,1000000.0,1290180.0,290180.0,29.018,0.0,0.0
KQ.m@INE.lu,1000000.0,1165927.0320000001,165927.03200000012,16.59270320000001,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,993569.4316599934,-6430.568340006634,-0.6430568340006634,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,1112814.650120005,112814.65012000501,11.281465012000501,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1034359.6260399926,34359.62603999255,3.4359626039992555,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,1192181.8716800043,192181.8716800043,19.218187168000426,0.0,0.0
KQ.m@CFFEX.T,1000000.0,962516.0000000047,-37483.99999999534,-3.748399999999534,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,990937.0000000024,-9062.999999997555,-0.9062999999997555,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,991496.0000000044,-8503.999999995576,-0.8503999999995576,0.0,0.0
